Tuned_Buffer,Capacity,Simulation_run,Buffer1,Buffer2,Buffer3,Buffer4,Buffer5,Throughput
1,1,1,1,5,5,5,5,11.475
1,1,2,1,5,5,5,5,11.25
1,1,3,1,5,5,5,5,11.575
1,1,4,1,5,5,5,5,11.4
1,1,5,1,5,5,5,5,11.275
1,1,6,1,5,5,5,5,11.425
1,1,7,1,5,5,5,5,11.45
1,1,8,1,5,5,5,5,11.375
1,1,9,1,5,5,5,5,11.2
1,1,10,1,5,5,5,5,11.475
1,2,1,2,5,5,5,5,11.6
1,2,2,2,5,5,5,5,11.25
1,2,3,2,5,5,5,5,11.475
1,2,4,2,5,5,5,5,11.475
1,2,5,2,5,5,5,5,11.475
1,2,6,2,5,5,5,5,11.6
1,2,7,2,5,5,5,5,11.25
1,2,8,2,5,5,5,5,11.475
1,2,9,2,5,5,5,5,11.325
1,2,10,2,5,5,5,5,11.625
1,3,1,3,5,5,5,5,11.475
1,3,2,3,5,5,5,5,11.325
1,3,3,3,5,5,5,5,11.125
1,3,4,3,5,5,5,5,11.375
1,3,5,3,5,5,5,5,11.325
1,3,6,3,5,5,5,5,11.0
1,3,7,3,5,5,5,5,11.425
1,3,8,3,5,5,5,5,10.9
1,3,9,3,5,5,5,5,11.425
1,3,10,3,5,5,5,5,11.35
1,4,1,4,5,5,5,5,11.625
1,4,2,4,5,5,5,5,11.3
1,4,3,4,5,5,5,5,11.4
1,4,4,4,5,5,5,5,11.425
1,4,5,4,5,5,5,5,11.375
1,4,6,4,5,5,5,5,11.55
1,4,7,4,5,5,5,5,11.15
1,4,8,4,5,5,5,5,11.625
1,4,9,4,5,5,5,5,11.425
1,4,10,4,5,5,5,5,11.35
1,5,1,5,5,5,5,5,11.15
1,5,2,5,5,5,5,5,11.475
1,5,3,5,5,5,5,5,11.3
1,5,4,5,5,5,5,5,11.225
1,5,5,5,5,5,5,5,11.45
1,5,6,5,5,5,5,5,11.4
1,5,7,5,5,5,5,5,11.15
1,5,8,5,5,5,5,5,11.05
1,5,9,5,5,5,5,5,11.5
1,5,10,5,5,5,5,5,11.25
1,6,1,6,5,5,5,5,11.575
1,6,2,6,5,5,5,5,11.65
1,6,3,6,5,5,5,5,11.25
1,6,4,6,5,5,5,5,11.425
1,6,5,6,5,5,5,5,11.025
1,6,6,6,5,5,5,5,11.4
1,6,7,6,5,5,5,5,11.35
1,6,8,6,5,5,5,5,11.175
1,6,9,6,5,5,5,5,11.275
1,6,10,6,5,5,5,5,11.35
1,7,1,7,5,5,5,5,11.4
1,7,2,7,5,5,5,5,11.35
1,7,3,7,5,5,5,5,11.6
1,7,4,7,5,5,5,5,11.025
1,7,5,7,5,5,5,5,11.075
1,7,6,7,5,5,5,5,11.425
1,7,7,7,5,5,5,5,11.1
1,7,8,7,5,5,5,5,11.225
1,7,9,7,5,5,5,5,11.175
1,7,10,7,5,5,5,5,11.625
1,8,1,8,5,5,5,5,11.1
1,8,2,8,5,5,5,5,11.125
1,8,3,8,5,5,5,5,11.45
1,8,4,8,5,5,5,5,11.15
1,8,5,8,5,5,5,5,11.25
1,8,6,8,5,5,5,5,11.475
1,8,7,8,5,5,5,5,11.375
1,8,8,8,5,5,5,5,11.225
1,8,9,8,5,5,5,5,11.5
1,8,10,8,5,5,5,5,11.55
