Tuned_Buffer,Capacity,Simulation_run,Buffer1,Buffer2,Buffer3,Buffer4,Buffer5,Total_Buffer_Capacity,Throughput,Objective
1,30,1,30,5,5,5,5,50,11.375,6.375
1,30,2,30,5,5,5,5,50,11.425,6.425000000000001
1,30,3,30,5,5,5,5,50,11.35,6.35
1,30,4,30,5,5,5,5,50,11.3,6.300000000000001
1,30,5,30,5,5,5,5,50,11.125,6.125
1,30,6,30,5,5,5,5,50,11.425,6.425000000000001
1,30,7,30,5,5,5,5,50,11.05,6.050000000000001
1,30,8,30,5,5,5,5,50,11.375,6.375
1,30,9,30,5,5,5,5,50,11.175,6.175000000000001
1,30,10,30,5,5,5,5,50,11.4,6.4
1,31,1,31,5,5,5,5,51,11.5,6.3999999999999995
1,31,2,31,5,5,5,5,51,11.475,6.374999999999999
1,31,3,31,5,5,5,5,51,11.225,6.124999999999999
1,31,4,31,5,5,5,5,51,11.425,6.325
1,31,5,31,5,5,5,5,51,11.325,6.224999999999999
1,31,6,31,5,5,5,5,51,11.325,6.224999999999999
1,31,7,31,5,5,5,5,51,11.6,6.499999999999999
1,31,8,31,5,5,5,5,51,10.875,5.7749999999999995
1,31,9,31,5,5,5,5,51,10.875,5.7749999999999995
1,31,10,31,5,5,5,5,51,11.375,6.2749999999999995
1,32,1,32,5,5,5,5,52,11.425,6.2250000000000005
1,32,2,32,5,5,5,5,52,11.375,6.175
1,32,3,32,5,5,5,5,52,11.125,5.925
1,32,4,32,5,5,5,5,52,11.025,5.825
1,32,5,32,5,5,5,5,52,11.325,6.124999999999999
1,32,6,32,5,5,5,5,52,11.175,5.9750000000000005
1,32,7,32,5,5,5,5,52,11.375,6.175
1,32,8,32,5,5,5,5,52,11.25,6.05
1,32,9,32,5,5,5,5,52,11.325,6.124999999999999
1,32,10,32,5,5,5,5,52,11.1,5.8999999999999995
1,33,1,33,5,5,5,5,53,11.025,5.725
1,33,2,33,5,5,5,5,53,11.55,6.25
1,33,3,33,5,5,5,5,53,11.375,6.074999999999999
1,33,4,33,5,5,5,5,53,11.375,6.074999999999999
1,33,5,33,5,5,5,5,53,11.475,6.174999999999999
1,33,6,33,5,5,5,5,53,11.375,6.074999999999999
1,33,7,33,5,5,5,5,53,11.45,6.149999999999999
1,33,8,33,5,5,5,5,53,11.375,6.074999999999999
1,33,9,33,5,5,5,5,53,11.0,5.699999999999999
1,33,10,33,5,5,5,5,53,11.25,5.949999999999999
1,34,1,34,5,5,5,5,54,11.25,5.85
1,34,2,34,5,5,5,5,54,11.45,6.049999999999999
1,34,3,34,5,5,5,5,54,11.375,5.975
1,34,4,34,5,5,5,5,54,11.25,5.85
1,34,5,34,5,5,5,5,54,11.45,6.049999999999999
1,34,6,34,5,5,5,5,54,11.25,5.85
1,34,7,34,5,5,5,5,54,11.025,5.625
1,34,8,34,5,5,5,5,54,11.35,5.949999999999999
1,34,9,34,5,5,5,5,54,11.3,5.9
1,34,10,34,5,5,5,5,54,11.375,5.975
1,35,1,35,5,5,5,5,55,11.3,5.800000000000001
1,35,2,35,5,5,5,5,55,11.4,5.9
1,35,3,35,5,5,5,5,55,11.35,5.85
1,35,4,35,5,5,5,5,55,11.6,6.1
1,35,5,35,5,5,5,5,55,11.5,6.0
1,35,6,35,5,5,5,5,55,11.175,5.675000000000001
1,35,7,35,5,5,5,5,55,11.225,5.725
1,35,8,35,5,5,5,5,55,11.6,6.1
1,35,9,35,5,5,5,5,55,11.225,5.725
1,35,10,35,5,5,5,5,55,11.1,5.6
1,36,1,36,5,5,5,5,56,11.425,5.825
1,36,2,36,5,5,5,5,56,10.975,5.374999999999999
1,36,3,36,5,5,5,5,56,11.65,6.05
1,36,4,36,5,5,5,5,56,11.35,5.749999999999999
1,36,5,36,5,5,5,5,56,11.35,5.749999999999999
1,36,6,36,5,5,5,5,56,11.5,5.8999999999999995
1,36,7,36,5,5,5,5,56,11.325,5.724999999999999
1,36,8,36,5,5,5,5,56,11.3,5.7
1,36,9,36,5,5,5,5,56,11.375,5.7749999999999995
1,36,10,36,5,5,5,5,56,11.1,5.499999999999999
1,37,1,37,5,5,5,5,57,11.05,5.3500000000000005
1,37,2,37,5,5,5,5,57,11.35,5.6499999999999995
1,37,3,37,5,5,5,5,57,11.675,5.9750000000000005
1,37,4,37,5,5,5,5,57,11.325,5.624999999999999
1,37,5,37,5,5,5,5,57,11.4,5.7
1,37,6,37,5,5,5,5,57,11.4,5.7
1,37,7,37,5,5,5,5,57,11.375,5.675
1,37,8,37,5,5,5,5,57,11.275,5.575
1,37,9,37,5,5,5,5,57,11.35,5.6499999999999995
1,37,10,37,5,5,5,5,57,11.225,5.5249999999999995
1,38,1,38,5,5,5,5,58,11.275,5.475
1,38,2,38,5,5,5,5,58,11.375,5.574999999999999
1,38,3,38,5,5,5,5,58,11.35,5.549999999999999
1,38,4,38,5,5,5,5,58,11.25,5.449999999999999
1,38,5,38,5,5,5,5,58,11.65,5.85
1,38,6,38,5,5,5,5,58,11.45,5.649999999999999
1,38,7,38,5,5,5,5,58,11.375,5.574999999999999
1,38,8,38,5,5,5,5,58,11.325,5.524999999999999
1,38,9,38,5,5,5,5,58,11.5,5.699999999999999
1,38,10,38,5,5,5,5,58,11.125,5.324999999999999
1,39,1,39,5,5,5,5,59,11.425,5.525
1,39,2,39,5,5,5,5,59,11.375,5.475
1,39,3,39,5,5,5,5,59,11.25,5.35
1,39,4,39,5,5,5,5,59,11.425,5.525
1,39,5,39,5,5,5,5,59,11.35,5.449999999999999
1,39,6,39,5,5,5,5,59,11.2,5.299999999999999
1,39,7,39,5,5,5,5,59,11.35,5.449999999999999
1,39,8,39,5,5,5,5,59,11.225,5.324999999999999
1,39,9,39,5,5,5,5,59,11.25,5.35
1,39,10,39,5,5,5,5,59,11.275,5.375
1,40,1,40,5,5,5,5,60,10.975,4.975
1,40,2,40,5,5,5,5,60,11.45,5.449999999999999
1,40,3,40,5,5,5,5,60,11.375,5.375
1,40,4,40,5,5,5,5,60,11.475,5.475
1,40,5,40,5,5,5,5,60,11.2,5.199999999999999
1,40,6,40,5,5,5,5,60,11.5,5.5
1,40,7,40,5,5,5,5,60,11.2,5.199999999999999
1,40,8,40,5,5,5,5,60,11.375,5.375
1,40,9,40,5,5,5,5,60,11.375,5.375
1,40,10,40,5,5,5,5,60,11.375,5.375
1,41,1,41,5,5,5,5,61,11.4,5.3
1,41,2,41,5,5,5,5,61,11.2,5.099999999999999
1,41,3,41,5,5,5,5,61,11.225,5.124999999999999
1,41,4,41,5,5,5,5,61,11.25,5.1499999999999995
1,41,5,41,5,5,5,5,61,11.275,5.175
1,41,6,41,5,5,5,5,61,11.1,4.999999999999999
1,41,7,41,5,5,5,5,61,10.975,4.874999999999999
1,41,8,41,5,5,5,5,61,11.425,5.325
1,41,9,41,5,5,5,5,61,11.325,5.224999999999999
1,41,10,41,5,5,5,5,61,11.375,5.2749999999999995
1,42,1,42,5,5,5,5,62,11.4,5.2
1,42,2,42,5,5,5,5,62,11.4,5.2
1,42,3,42,5,5,5,5,62,11.35,5.1499999999999995
1,42,4,42,5,5,5,5,62,11.225,5.0249999999999995
1,42,5,42,5,5,5,5,62,11.225,5.0249999999999995
1,42,6,42,5,5,5,5,62,11.225,5.0249999999999995
1,42,7,42,5,5,5,5,62,11.225,5.0249999999999995
1,42,8,42,5,5,5,5,62,11.6,5.3999999999999995
1,42,9,42,5,5,5,5,62,11.625,5.425
1,42,10,42,5,5,5,5,62,11.575,5.374999999999999
1,43,1,43,5,5,5,5,63,11.2,4.899999999999999
1,43,2,43,5,5,5,5,63,11.6,5.299999999999999
1,43,3,43,5,5,5,5,63,11.325,5.024999999999999
1,43,4,43,5,5,5,5,63,11.325,5.024999999999999
1,43,5,43,5,5,5,5,63,11.2,4.899999999999999
1,43,6,43,5,5,5,5,63,11.25,4.949999999999999
1,43,7,43,5,5,5,5,63,11.375,5.074999999999999
1,43,8,43,5,5,5,5,63,11.4,5.1
1,43,9,43,5,5,5,5,63,11.65,5.35
1,43,10,43,5,5,5,5,63,11.15,4.85
1,44,1,44,5,5,5,5,64,11.75,5.35
1,44,2,44,5,5,5,5,64,11.15,4.75
1,44,3,44,5,5,5,5,64,11.275,4.875
1,44,4,44,5,5,5,5,64,11.325,4.924999999999999
1,44,5,44,5,5,5,5,64,11.35,4.949999999999999
1,44,6,44,5,5,5,5,64,11.25,4.85
1,44,7,44,5,5,5,5,64,11.325,4.924999999999999
1,44,8,44,5,5,5,5,64,11.45,5.049999999999999
1,44,9,44,5,5,5,5,64,11.225,4.824999999999999
1,44,10,44,5,5,5,5,64,11.65,5.25
1,45,1,45,5,5,5,5,65,11.45,4.949999999999999
1,45,2,45,5,5,5,5,65,11.25,4.75
1,45,3,45,5,5,5,5,65,11.15,4.65
1,45,4,45,5,5,5,5,65,11.25,4.75
1,45,5,45,5,5,5,5,65,11.25,4.75
1,45,6,45,5,5,5,5,65,11.15,4.65
1,45,7,45,5,5,5,5,65,11.4,4.9
1,45,8,45,5,5,5,5,65,11.325,4.824999999999999
1,45,9,45,5,5,5,5,65,11.35,4.85
1,45,10,45,5,5,5,5,65,11.375,4.875
1,46,1,46,5,5,5,5,66,11.5,4.8999999999999995
1,46,2,46,5,5,5,5,66,11.15,4.55
1,46,3,46,5,5,5,5,66,11.325,4.724999999999999
1,46,4,46,5,5,5,5,66,11.425,4.825
1,46,5,46,5,5,5,5,66,11.375,4.7749999999999995
1,46,6,46,5,5,5,5,66,11.45,4.849999999999999
1,46,7,46,5,5,5,5,66,11.6,4.999999999999999
1,46,8,46,5,5,5,5,66,11.325,4.724999999999999
1,46,9,46,5,5,5,5,66,11.5,4.8999999999999995
1,46,10,46,5,5,5,5,66,11.125,4.5249999999999995
1,47,1,47,5,5,5,5,67,11.375,4.675
1,47,2,47,5,5,5,5,67,10.975,4.2749999999999995
1,47,3,47,5,5,5,5,67,11.475,4.7749999999999995
1,47,4,47,5,5,5,5,67,11.4,4.7
1,47,5,47,5,5,5,5,67,11.225,4.5249999999999995
1,47,6,47,5,5,5,5,67,11.0,4.3
1,47,7,47,5,5,5,5,67,11.2,4.499999999999999
1,47,8,47,5,5,5,5,67,11.525,4.825
1,47,9,47,5,5,5,5,67,11.375,4.675
1,47,10,47,5,5,5,5,67,11.35,4.6499999999999995
1,48,1,48,5,5,5,5,68,11.375,4.574999999999999
1,48,2,48,5,5,5,5,68,11.375,4.574999999999999
1,48,3,48,5,5,5,5,68,11.375,4.574999999999999
1,48,4,48,5,5,5,5,68,11.125,4.324999999999999
1,48,5,48,5,5,5,5,68,11.375,4.574999999999999
1,48,6,48,5,5,5,5,68,11.375,4.574999999999999
1,48,7,48,5,5,5,5,68,11.25,4.449999999999999
1,48,8,48,5,5,5,5,68,11.4,4.6
1,48,9,48,5,5,5,5,68,11.35,4.549999999999999
1,48,10,48,5,5,5,5,68,11.15,4.35
1,49,1,49,5,5,5,5,69,11.275,4.375
1,49,2,49,5,5,5,5,69,11.525,4.625
1,49,3,49,5,5,5,5,69,11.25,4.35
1,49,4,49,5,5,5,5,69,11.5,4.6
1,49,5,49,5,5,5,5,69,11.15,4.25
1,49,6,49,5,5,5,5,69,11.25,4.35
1,49,7,49,5,5,5,5,69,11.125,4.225
1,49,8,49,5,5,5,5,69,11.4,4.5
1,49,9,49,5,5,5,5,69,11.325,4.424999999999999
1,49,10,49,5,5,5,5,69,10.975,4.074999999999999
1,50,1,50,5,5,5,5,70,11.425,4.425000000000001
1,50,2,50,5,5,5,5,70,11.35,4.35
1,50,3,50,5,5,5,5,70,11.325,4.324999999999999
1,50,4,50,5,5,5,5,70,11.3,4.300000000000001
1,50,5,50,5,5,5,5,70,11.2,4.199999999999999
1,50,6,50,5,5,5,5,70,11.3,4.300000000000001
1,50,7,50,5,5,5,5,70,11.2,4.199999999999999
1,50,8,50,5,5,5,5,70,11.35,4.35
1,50,9,50,5,5,5,5,70,11.525,4.525
1,50,10,50,5,5,5,5,70,11.475,4.475
2,30,1,5,30,5,5,5,50,11.525,6.525
2,30,2,5,30,5,5,5,50,11.125,6.125
2,30,3,5,30,5,5,5,50,11.675,6.675000000000001
2,30,4,5,30,5,5,5,50,11.05,6.050000000000001
2,30,5,5,30,5,5,5,50,11.375,6.375
2,30,6,5,30,5,5,5,50,11.275,6.275
2,30,7,5,30,5,5,5,50,11.5,6.5
2,30,8,5,30,5,5,5,50,11.525,6.525
2,30,9,5,30,5,5,5,50,11.35,6.35
2,30,10,5,30,5,5,5,50,10.9,5.9
2,31,1,5,31,5,5,5,51,11.0,5.8999999999999995
2,31,2,5,31,5,5,5,51,11.35,6.249999999999999
2,31,3,5,31,5,5,5,51,10.75,5.6499999999999995
2,31,4,5,31,5,5,5,51,11.15,6.05
2,31,5,5,31,5,5,5,51,11.25,6.1499999999999995
2,31,6,5,31,5,5,5,51,11.35,6.249999999999999
2,31,7,5,31,5,5,5,51,11.2,6.099999999999999
2,31,8,5,31,5,5,5,51,11.525,6.425
2,31,9,5,31,5,5,5,51,11.275,6.175
2,31,10,5,31,5,5,5,51,11.25,6.1499999999999995
2,32,1,5,32,5,5,5,52,11.5,6.3
2,32,2,5,32,5,5,5,52,11.375,6.175
2,32,3,5,32,5,5,5,52,11.525,6.325
2,32,4,5,32,5,5,5,52,11.225,6.0249999999999995
2,32,5,5,32,5,5,5,52,11.325,6.124999999999999
2,32,6,5,32,5,5,5,52,11.375,6.175
2,32,7,5,32,5,5,5,52,11.125,5.925
2,32,8,5,32,5,5,5,52,11.125,5.925
2,32,9,5,32,5,5,5,52,11.35,6.1499999999999995
2,32,10,5,32,5,5,5,52,11.525,6.325
2,33,1,5,33,5,5,5,53,11.275,5.975
2,33,2,5,33,5,5,5,53,11.45,6.149999999999999
2,33,3,5,33,5,5,5,53,11.6,6.299999999999999
2,33,4,5,33,5,5,5,53,11.4,6.1
2,33,5,5,33,5,5,5,53,11.25,5.949999999999999
2,33,6,5,33,5,5,5,53,11.375,6.074999999999999
2,33,7,5,33,5,5,5,53,11.0,5.699999999999999
2,33,8,5,33,5,5,5,53,11.35,6.049999999999999
2,33,9,5,33,5,5,5,53,11.475,6.174999999999999
2,33,10,5,33,5,5,5,53,11.1,5.799999999999999
2,34,1,5,34,5,5,5,54,11.325,5.924999999999999
2,34,2,5,34,5,5,5,54,11.25,5.85
2,34,3,5,34,5,5,5,54,11.5,6.1
2,34,4,5,34,5,5,5,54,11.375,5.975
2,34,5,5,34,5,5,5,54,11.125,5.725
2,34,6,5,34,5,5,5,54,11.3,5.9
2,34,7,5,34,5,5,5,54,11.15,5.75
2,34,8,5,34,5,5,5,54,11.1,5.699999999999999
2,34,9,5,34,5,5,5,54,11.0,5.6
2,34,10,5,34,5,5,5,54,11.325,5.924999999999999
2,35,1,5,35,5,5,5,55,11.175,5.675000000000001
2,35,2,5,35,5,5,5,55,11.475,5.975
2,35,3,5,35,5,5,5,55,11.25,5.75
2,35,4,5,35,5,5,5,55,11.25,5.75
2,35,5,5,35,5,5,5,55,11.25,5.75
2,35,6,5,35,5,5,5,55,11.1,5.6
2,35,7,5,35,5,5,5,55,11.225,5.725
2,35,8,5,35,5,5,5,55,11.25,5.75
2,35,9,5,35,5,5,5,55,11.425,5.925000000000001
2,35,10,5,35,5,5,5,55,11.5,6.0
2,36,1,5,36,5,5,5,56,11.3,5.7
2,36,2,5,36,5,5,5,56,11.425,5.825
2,36,3,5,36,5,5,5,56,11.075,5.474999999999999
2,36,4,5,36,5,5,5,56,11.3,5.7
2,36,5,5,36,5,5,5,56,11.475,5.874999999999999
2,36,6,5,36,5,5,5,56,11.075,5.474999999999999
2,36,7,5,36,5,5,5,56,11.75,6.1499999999999995
2,36,8,5,36,5,5,5,56,11.5,5.8999999999999995
2,36,9,5,36,5,5,5,56,11.375,5.7749999999999995
2,36,10,5,36,5,5,5,56,11.1,5.499999999999999
2,37,1,5,37,5,5,5,57,11.325,5.624999999999999
2,37,2,5,37,5,5,5,57,11.25,5.55
2,37,3,5,37,5,5,5,57,11.4,5.7
2,37,4,5,37,5,5,5,57,11.375,5.675
2,37,5,5,37,5,5,5,57,11.45,5.749999999999999
2,37,6,5,37,5,5,5,57,11.325,5.624999999999999
2,37,7,5,37,5,5,5,57,11.35,5.6499999999999995
2,37,8,5,37,5,5,5,57,11.225,5.5249999999999995
2,37,9,5,37,5,5,5,57,11.325,5.624999999999999
2,37,10,5,37,5,5,5,57,11.25,5.55
2,38,1,5,38,5,5,5,58,11.325,5.524999999999999
2,38,2,5,38,5,5,5,58,11.25,5.449999999999999
2,38,3,5,38,5,5,5,58,11.3,5.5
2,38,4,5,38,5,5,5,58,11.225,5.424999999999999
2,38,5,5,38,5,5,5,58,11.475,5.674999999999999
2,38,6,5,38,5,5,5,58,11.15,5.35
2,38,7,5,38,5,5,5,58,11.45,5.649999999999999
2,38,8,5,38,5,5,5,58,11.725,5.924999999999999
2,38,9,5,38,5,5,5,58,11.025,5.225
2,38,10,5,38,5,5,5,58,11.35,5.549999999999999
2,39,1,5,39,5,5,5,59,11.25,5.35
2,39,2,5,39,5,5,5,59,11.6,5.699999999999999
2,39,3,5,39,5,5,5,59,11.375,5.475
2,39,4,5,39,5,5,5,59,11.35,5.449999999999999
2,39,5,5,39,5,5,5,59,11.25,5.35
2,39,6,5,39,5,5,5,59,11.575,5.674999999999999
2,39,7,5,39,5,5,5,59,11.4,5.5
2,39,8,5,39,5,5,5,59,11.55,5.65
2,39,9,5,39,5,5,5,59,11.3,5.4
2,39,10,5,39,5,5,5,59,11.375,5.475
2,40,1,5,40,5,5,5,60,11.375,5.375
2,40,2,5,40,5,5,5,60,11.275,5.275
2,40,3,5,40,5,5,5,60,11.525,5.525
2,40,4,5,40,5,5,5,60,11.225,5.225
2,40,5,5,40,5,5,5,60,11.25,5.25
2,40,6,5,40,5,5,5,60,11.55,5.550000000000001
2,40,7,5,40,5,5,5,60,11.3,5.300000000000001
2,40,8,5,40,5,5,5,60,11.3,5.300000000000001
